Nome,cognome,Username,Password,Fantacrediti
das,dasdsa,gascas11,Asiachanel11,500
Martina,Rossi,MartinaRossi,ygf8yvbyH8bvf,500
Franco,Verdi,FrancoVerdi,ygf8yvbyH8bvf,500
Simone,Verdi,SimoneVerdi,ygf8yvbyH8bvf,500
Salvatore,Verdi,SalvatoreVerdi,ygf8yvbyH8bvf,500
Andrea,Verdi,AndreaVerdi,ygf8yvbyH8bvf,500
das,dasdsa,calder10,Asiachanel11,500
Simone,Bianchi,SimoneBianchi,bcwbdbD1b,500
Giuseppe,Verdi,GiuseppeVerdi,ygf8yvbyH8bvf,500
Martina,Rossi,MartinaRossi,abs3yYa,500
Salvatore,Verdi,SalvatoreVerdi,ygf8yvbyH8bvf,500
Antonio,Verdi,AntonioVerdi,wyfrywTTv2,500
